Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
               SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
382.972878          15       20       27       21       24       28     22    10          35            4
393.420115          15       20       27       21       24       28     22    10          35            4
404.152346          15       20       27       21       24       28     22    10          35            4
415.177345          15       20       27       21       24       28     22    10          35            4
426.503099          15       20       27       21       24       28     22    10          35            4
438.137811          15       20       27       21       24       28     22    10          35            4
450.089910          15       20       27       21       24       28     22    10          35            4
462.368054          15       20       27       21       24       28     23    11          35            5
474.981137          15       20       27       21       24       28     23    11          35            5
487.938297          15       20       27       21       24       28     23    11          35            5
501.248919          15       20       27       21       24       28     23    11          35            5
514.922646          15       20       27       21       24       28     23    11          35            5
528.969383          15       20       27       21       24       28     23    11          35            5
543.399305          15       20       27       21       24       28     23    11          35            5
558.222865          15       20       27       21       24       28     23    11          35            5
573.450802          15       20       27       21       24       28     23    11          35            5
589.094147          15       20       27       21       24       28     23    11          35            5
605.164231          15       20       27       21       24       28     23    11          35            5
621.672696          15       20       27       21       24       28     23    11          35            5
638.631501          15       20       27       21       24       28     23    11          35            5
656.052931          15       20       27       21       24       28     23    11          35            5
673.949605          15       20       27       21       24       28     23    11          35            5
692.334488          15       20       27       21       24       28     23    11          35            5
711.220898          15       20       27       21       24       28     23    11          35            5
730.622516          15       20       27       21       24       28     23    11          35            5
750.553398          15       20       27       21       24       28     23    11          35            5
771.027980          15       20       27       21       24       28     23    11          35            5
792.061094          15       20       27       21       24       28     23    11          35            5
813.667978          15       20       27       21       24       28     23    11          35            5
835.864282          15       20       27       21       24       28     23    11          35            5
858.666087          15       20       27       21       24       28     23    11          35            5
882.089909          15       20       27       21       24       28     23    11          35            5
906.152716          15       20       27       21       24       28     23    11          35            5
930.871941          15       20       27       21       24       28     23    11          35            5
956.265489          15       20       27       21       24       28     23    11          35            5
982.351756          15       20       27       21       24       28     23    11          35            5
1009.149639         15       20       27       21       24       28     23    11          35            5
1036.678549         15       20       27       21       24       28     23    11          35            5
1064.958429         15       20       27       21       24       28     23    11          35            5
1094.009764         15       20       27       21       24       28     23    11          35            5
1123.853600         15       20       27       21       24       28     23    11          35            5
1154.511556         15       20       27       21       24       28     23    11          35            5
1186.005840         15       20       27       21       24       28     23    11          35            5
1218.359266         15       20       27       21       24       28     23    11          35            5
1251.595271         15       20       27       21       24       28     24    12          35            5
1285.737932         15       20       27       21       24       28     24    12          35            5
1320.811981         15       20       27       21       24       28     24    12          35            5
1356.842826         15       20       27       21       24       28     24    12          35            5
1393.856568         15       20       27       21       24       28     24    12          35            5
1431.880019         15       20       27       21       24       28     24    12          35            5
1470.940724         15       20       27       21       24       28     24    12          35            5
1511.066979         15       20       27       21       24       28     24    12          35            5
1552.287850         15       20       27       21       24       28     24    12          35            5
1594.633198         15       20       27       21       24       28     24    12          35            5
1638.133698         15       20       27       21       24       28     24    12          35            5
1682.820862         15       20       27       21       24       28     24    12          35            5
1728.727061         15       20       27       21       24       28     24    12          35            5
1775.885550         15       20       27       21       24       28     25    13          35            6
1824.330490         15       20       27       21       24       28     25    13          35            6
