Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
96.577701        15       18       24       20       22       27     28    20          34            7
97.181193        15       18       24       20       22       27     28    20          34            7
97.784685        15       18       24       20       22       27     28    20          34            7
98.388176        15       18       24       20       22       27     28    20          34            7
98.991668        15       18       24       20       22       27     28    20          34            7
99.595160        15       18       24       20       22       27     28    20          34            7
100.198652       15       18       24       20       22       27     28    20          34            7
100.802144       15       18       24       20       22       27     28    20          34            7
101.405636       15       18       24       20       22       27     29    20          34            7
102.009128       15       18       24       20       22       27     29    20          34            7
102.612620       15       18       24       20       22       27     29    20          34            7
103.216112       15       18       24       20       22       27     29    21          34            8
103.819603       15       18       24       20       22       27     29    21          34            8
104.423095       15       18       24       20       22       27     29    21          34            8
105.026587       15       18       24       20       22       27     29    21          34            8
105.630079       15       18       24       20       22       27     29    21          34            8
106.233571       15       18       24       20       22       27     29    21          34            8
106.837063       15       18       24       20       22       27     29    21          34            8
107.440555       15       18       24       20       22       27     29    21          34            8
108.044047       15       18       24       20       22       27     29    21          34            8
108.647538       15       18       24       20       22       27     29    21          34            8
109.251030       15       18       25       20       22       27     29    21          34            8
109.854522       15       18       25       20       22       27     29    21          34            8
110.458014       15       18       25       20       22       27     29    21          34            8
111.061506       15       18       25       20       22       27     29    21          34            8
111.664998       15       18       25       20       22       27     29    21          34            8
112.268490       15       18       25       20       22       27     29    21          34            8
112.871982       15       18       25       20       22       27     29    21          34            8
113.475473       15       18       25       20       22       27     29    21          34            8
114.078965       15       18       25       20       22       27     29    21          34            8
114.682457       15       18       25       20       22       27     29    21          34            8
115.285949       15       18       25       20       22       27     29    22          34            8
115.889441       15       18       25       20       22       27     29    22          34            8
116.492933       15       18       25       20       22       27     29    22          34            8
117.096425       15       18       25       20       22       27     29    22          34            8
117.699917       15       18       25       20       22       27     29    22          34            8
118.303409       15       18       25       20       22       27     30    22          34            8
118.906900       15       18       25       20       22       27     30    22          34            8
119.510392       15       18       25       20       22       27     30    22          34            8
120.113884       15       18       25       20       22       27     30    22          34            8
120.717376       15       18       25       20       22       27     30    22          34            8
121.320868       15       18       25       20       22       27     30    22          34            8
121.924360       15       18       25       20       22       27     30    22          34            8
122.527852       15       18       25       20       22       27     30    22          34            8
123.131344       15       18       25       20       22       27     30    22          34            8
123.734835       15       18       25       20       22       27     30    22          34            8
124.338327       15       18       25       20       22       27     30    22          34            8
124.941819       15       18       25       20       22       27     30    22          34            8
125.545311       15       18       26       20       22       27     30    22          34            8
126.148803       15       18       26       20       22       27     30    22          34            8
126.752295       15       18       26       20       22       27     31    22          35            8
127.355787       15       18       26       20       22       27     31    23          35            8
127.959279       15       18       26       20       22       27     31    23          35            8
128.562770       15       18       26       20       22       27     31    23          35            8
129.166262       15       18       26       20       22       27     31    23          35            8
129.769754       15       18       26       20       22       27     31    23          35            8
130.373246       15       18       26       20       22       27     31    23          35            8
130.976738       15       18       26       20       22       27     31    23          35            8
131.580230       15       18       26       20       22       27     31    23          35            8
132.183722       15       18       26       20       22       27     31    23          35            8
132.787214       15       18       26       20       22       27     31    23          35            8
133.390706       15       18       26       20       22       27     31    23          35            8
133.994197       15       18       26       20       22       27     31    23          35            8
134.597689       15       18       26       20       22       27     31    23          35            8
135.201181       15       18       26       20       22       27     31    23          35            8
135.804673       15       18       26       20       22       27     31    23          35            8
136.408165       15       18       26       20       22       27     31    24          35            8
137.011657       15       18       26       20       22       27     31    24          35            8
137.615149       15       18       26       20       22       27     31    24          35            8
138.218641       15       18       26       20       23       27     31    24          35            8
138.822132       15       18       26       20       23       27     31    24          35            8
139.425624       15       18       26       20       23       27     31    24          35            8
140.029116       15       18       26       20       23       27     31    24          35            8
140.632608       15       18       26       20       23       27     31    24          35            8
141.236100       15       18       26       20       23       27     31    24          35            8
141.839592       15       18       26       20       23       27     31    24          35            8
142.443084       15       18       26       20       23       27     31    24          35            8
143.046576       15       18       26       20       23       27     31    24          35            8
143.650067       15       18       26       20       23       27     31    24          35            8
144.253559       15       18       26       20       23       27     31    24          35            8
144.857051       15       18       26       20       23       27     31    24          35            8
145.460543       15       18       26       20       23       27     31    24          35            8
146.064035       15       18       26       20       23       27     31    24          35            8
146.667527       15       18       26       20       23       27     31    24          35            8
147.271019       15       18       26       20       23       27     31    24          35            8
147.874511       15       18       26       20       23       27     31    24          35            8
148.478003       15       18       26       20       23       27     31    24          35            8
149.081494       15       18       26       20       23       27     31    24          35            8
149.684986       15       18       26       20       23       27     31    24          35            8
