Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
16.099549         15       18       19       21       18       18     20    17          27           13
16.366455         15       18       19       21       18       18     20    17          27           13
16.637786         15       18       19       21       18       18     20    17          27           13
16.913615         15       18       19       21       18       18     20    17          27           13
17.194017         15       18       19       21       18       18     20    17          27           13
17.479067         15       18       19       21       19       18     20    17          27           13
17.768844         15       18       19       21       19       18     20    17          27           13
18.063424         15       18       19       21       19       18     20    17          27           13
18.362888         15       18       20       21       19       18     20    17          27           13
18.667317         15       18       20       21       19       18     20    17          27           13
18.976792         15       18       20       21       19       18     20    17          27           13
19.291399         15       18       20       21       19       18     20    17          27           13
19.611220         15       18       20       21       19       18     20    17          27           13
19.936345         15       18       20       21       19       18     20    17          27           13
20.266859         15       18       20       21       19       18     20    17          27           13
20.602852         15       18       20       21       19       18     20    17          27           13
20.944416         15       18       20       21       19       18     20    17          27           13
21.291643         15       18       20       21       19       18     20    17          27           13
21.644626         15       18       20       21       19       18     20    17          27           13
22.003461         15       18       21       21       19       18     20    17          27           13
22.368244         15       18       21       21       19       18     20    17          27           13
22.739076         15       18       21       21       19       18     20    17          27           13
23.116055         15       18       21       21       19       18     20    17          27           13
23.499284         15       18       21       21       19       18     20    17          27           13
23.888866         15       18       21       21       19       18     20    17          27           13
24.284907         15       18       21       21       19       18     20    17          27           13
24.687514         15       18       21       21       19       18     20    17          27           13
25.096795         15       18       21       21       19       18     20    17          27           13
25.512862         15       18       21       21       19       18     20    17          27           13
25.935826         16       18       21       21       19       18     20    17          27           13
26.365802         16       18       21       21       19       19     20    17          27           13
26.802907         16       18       21       21       19       19     20    17          27           13
27.247259         16       18       21       21       19       19     20    17          27           13
27.698976         16       18       21       21       19       19     20    17          27           13
28.158183         16       18       22       21       19       19     20    17          27           13
28.625003         16       18       22       21       19       19     20    17          27           13
29.099562         16       18       22       22       20       20     20    17          27           13
29.581988         16       19       22       22       20       20     20    17          27           13
30.072412         16       19       23       22       20       20     20    18          27           13
30.570967         17       19       23       22       20       20     21    18          27           14
31.077787         17       19       23       22       20       20     21    19          27           14
31.593009         17       19       23       22       20       20     21    19          27           14
32.116773         17       19       23       22       20       20     21    19          27           14
32.649220         17       19       23       22       20       21     21    19          27           14
33.190495         17       19       23       22       20       21     21    19          27           14
33.740743         17       19       23       22       21       21     21    19          27           14
34.300113         17       19       23       22       21       21     21    19          27           14
34.868756         17       19       23       22       21       21     21    19          27           14
35.446827         17       19       23       22       21       21     21    19          27           14
36.034481         17       19       23       22       21       21     21    19          27           14
36.631878         17       19       23       22       21       21     21    19          27           14
37.239179         17       19       23       22       21       21     21    19          27           14
37.856547         17       19       23       22       21       21     21    19          27           14
38.484151         17       19       23       22       21       21     21    19          27           14
39.122160         17       19       23       22       21       21     21    19          27           14
39.770745         17       19       23       22       21       21     21    19          27           14
40.430084         17       19       23       22       21       21     21    19          27           14
41.100353         17       19       23       22       21       21     21    19          27           14
41.781734         17       19       23       22       21       21     21    19          27           14
42.474411         17       19       23       22       21       21     21    19          27           14
43.178572         17       19       23       22       22       21     21    19          27           14
43.894407         17       19       23       22       22       21     21    19          27           14
44.622109         17       19       23       22       22       21     21    19          27           14
45.361876         17       19       23       22       22       21     21    19          27           14
46.113907         17       19       23       22       22       21     21    19          27           14
46.878405         17       19       23       22       22       21     21    19          27           14
47.655577         17       19       23       22       22       21     21    19          27           14
48.445634         18       20       23       22       23       22     21    19          27           14
49.248789         18       20       24       22       23       22     21    19          27           14
50.065259         18       20       24       22       23       22     22    20          27           15
50.895264         18       20       24       22       24       22     22    20          27           15
51.739030         18       20       24       22       24       22     22    20          27           15
52.596784         18       20       24       22       24       22     22    20          27           15
53.468759         18       20       24       22       24       22     22    20          27           15
54.355189         18       20       24       22       24       22     22    20          27           15
55.256315         18       20       24       22       24       22     22    20          27           15
56.172381         18       20       24       22       24       23     22    20          27           15
57.103633         18       20       24       22       24       23     22    20          27           15
58.050324         18       20       24       22       24       23     22    20          27           15
59.012710         18       20       25       22       24       23     22    20          27           15
59.991051         18       20       25       23       24       23     22    20          27           15
60.985611         18       20       25       23       24       24     22    20          27           15
61.996659         18       20       25       23       24       24     22    20          27           15
63.024469         18       20       25       23       24       24     22    20          27           15
64.069319         18       20       25       23       24       24     22    20          27           15
65.131490         18       20       25       23       25       24     22    20          27           15
66.211271         18       20       25       23       25       24     22    20          27           15
67.308953         18       20       25       23       25       24     22    20          27           15
68.424833         18       20       25       23       25       24     22    20          27           15
69.559212         18       20       25       23       25       24     22    20          27           15
70.712398         18       20       25       23       25       24     22    20          27           15
71.884701         18       20       25       23       25       24     22    20          27           15
73.076440         18       20       25       23       25       24     22    20          27           15
74.287936         18       20       25       23       25       25     22    20          27           15
75.519517         18       20       25       23       25       25     22    20          27           15
76.771515         18       20       25       23       25       25     22    20          27           15
78.044270         18       20       25       23       25       25     22    20          27           15
79.338125         18       20       25       23       25       25     22    20          27           15
80.653430         18       20       25       23       25       25     23    21          27           16
81.990541         18       20       25       23       25       25     23    21          27           16
83.349819         18       20       25       23       25       25     23    21          27           16
84.731631         18       20       25       23       25       25     23    21          27           16
86.136353         18       20       25       23       25       25     23    21          27           16
87.564362         18       20       25       23       25       25     23    21          27           16
89.016046         18       20       25       23       25       25     23    21          27           16
90.491796         18       20       25       23       25       25     23    21          27           16
91.992012         18       20       25       23       25       25     23    21          27           16
93.517099         18       20       25       23       25       25     23    21          27           16
95.067470         18       20       25       23       25       25     23    21          27           16
96.643543         18       20       25       23       25       25     23    21          27           16
98.245746         18       21       25       23       25       25     23    21          27           16
99.874510         18       21       25       23       25       26     23    21          27           16
